preset,authored_note,mean,n84,n85,n86,n87,n88,n89,n90,n91,n92,n93,n94,n95,n96,n97,n98,n99,n100,n101,n102,n103
094,94,0.48749955453675559,0.55086996253025211,0.54043662703244333,0.54611166075046513,0.48057307288244683,0.54906559452472081,0.56870277751428988,0.41283638845560128,0.4850209773659051,0.46735514746619622,0.41904371386362371,0.35821361553922459,0.52138706509610755,0.49330512468418303,0.50538333481271136,0.42939524106472327,0.49500065120377851,0.50186422809357167,0.50338347619165436,0.47268438075732744,0.4493580509058851
095,95,0.56308969063635805,0.61796401978095761,0.614642541267719,0.61464197345515925,0.5672430111919381,0.62351900361843027,0.60868378571837101,0.52371427440869922,0.53854747306881012,0.54302474878819262,0.5133834306130648,0.60936770059467182,0.3227263809587495,0.56989986306850016,0.57762839636862551,0.5912180410252954,0.57550569465126988,0.60024088102754802,0.57115329600631526,0.54330113415549541,0.53538816295935099
096,96,0.50897282116599007,0.66429002530405701,0.65375517604425226,0.63560271549923864,0.62009585692800617,0.62047321358637353,0.59704038781426316,0.60039344738424782,0.50609030888616613,0.51106244342530605,0.5040083271477489,0.61021222512390694,0.57813960164791278,0.30697078013749479,0.39613448179939659,0.47435634976913493,0.37725397215756878,0.37682793850101309,0.37080000256329382,0.33309329423235884,0.44285587536806298
097,97,0.43920403932924656,0.51452536407746685,0.51167488056474852,0.49752739883548286,0.48617961521403469,0.52280696501151047,0.51283661777178602,0.4870983477997321,0.40070599841962612,0.37482431524090737,0.43133429431817305,0.48719364785065195,0.52256373174853143,0.36240635264121646,0.32885136453259123,0.44169362088426473,0.34929157307580899,0.38104525666995076,0.3706737548446753,0.39659879820996846,0.404248888873803
098,98,0.47601665482702771,0.58124380959875921,0.52242833850466686,0.52096054513274193,0.57827816419862133,0.5914852740638904,0.54455472068813393,0.50874151436530068,0.45918413605302377,0.47332312201783278,0.40799376088645489,0.47653287703652619,0.50291212067049795,0.4791956203689951,0.44616849902777606,0.28429369619231842,0.43133248098035343,0.46238457206777545,0.46828120257514727,0.43306749083505353,0.34797115127668676
099,99,0.4481346896568762,0.52022557837128991,0.50090445792717608,0.50140711429318618,0.47378519640863614,0.50868889165136399,0.52753370964915469,0.47919132445965795,0.3920096806940857,0.35410887129672169,0.43334362874918225,0.47430940077746103,0.53093347537027868,0.38948043528942716,0.36162531389808356,0.4664612015218173,0.32014585601909568,0.37424823493791509,0.37070082965838452,0.40952532801872182,0.57406526414588255
100,100,0.44661321327154441,0.54141412075761819,0.49465549710172518,0.49829114539043196,0.48280071954493242,0.50659507556098793,0.52837603567189273,0.47937046228854813,0.41378277453727347,0.37611393382945646,0.43431828099504199,0.48175265880279677,0.51751706265421482,0.40278024669161572,0.38855777901208216,0.48516878564789251,0.35606384508737704,0.34153229999556256,0.33734516913073082,0.41860962958081821,0.44721874314989007
101,101,0.49181214330504214,0.60496219964622788,0.5013952104828282,0.51536573149848774,0.61386337517838807,0.62392550939979363,0.59384411259478365,0.55635157712729866,0.49177786292007636,0.48711172282543869,0.50017881977256917,0.48109097890117763,0.52151762408284574,0.43171434497594124,0.4461910736721641,0.51934122818797579,0.47743860136571503,0.36138989266878446,0.30584950960951923,0.37494159572214592,0.42799189546868055
102,102,0.48203498883005791,0.59351855766589334,0.52593467775703739,0.53906062729643967,0.5583499883978148,0.59078750327456808,0.56892684300109952,0.5681226422474589,0.45136143417660135,0.45424527766736461,0.44672138619292229,0.53478728863967828,0.51886395086336057,0.41683682816808754,0.4490842291092304,0.48610363336323764,0.41890112209064284,0.46336598937146023,0.40406548390563563,0.23840647710832952,0.41325583630429658
103,103,0.50082202935356179,0.63283208260480828,0.51554824989666292,0.51951133787778192,0.57011635043839537,0.60490127457098941,0.59661864948545429,0.56679224306010834,0.4894704221370148,0.49249714083446583,0.4693201515352306,0.51081535479131213,0.51364709279084964,0.52956618528766675,0.49252118402331951,0.44486459318807892,0.47949417259451205,0.45707829282347451,0.47009293709865246,0.4034341714868182,0.25731870054563866
