design,arm,block,seed,job,engine,covariance,lambda,population,restarts_planned,budget,score,scored_evaluations,final_score,evaluations,iterations,restarts,stop_reason,converged,elapsed_s,pinned,dimension,matched,partial_cents,partial_level_db,partial_decay_octaves,partial_missing,partial_extra,spectral_fine_db,spectral_coarse_db,envelope_db,onset_db,decay_slope_dbps,waveform,mayfly_version,cmaes_version,revision
engine-shape,blk-cmaes-r,6,121006,b06-blk-cmaes-r,cmaes,block,14,,0,24000,0.33832291798117442,9547,0.33832291798117442,24000,1715,5,max_evaluations,false,67.181724269,0,30,1,0.021750766119316953,0,0.011034889010322395,0.99216292501409364,0.017585704423293744,16.898671223944188,20.936871724290647,0.63999049898648386,23.743639628150106,0.1647659872625411,0.99989846022569773,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-ipop,6,121006,b06-sep-cmaes-ipop,cmaes,separable,14,,0,24000,0.32079144209740545,9003,0.32079144209740545,24000,1638,2,max_evaluations,false,66.550104669000007,0,30,1,0.00040265515087651194,2.2204460492503131e-16,0.00047473826305477473,0.84051032014328775,0.14879973487935197,16.024883453654404,19.506547722318018,0.58957827065638824,14.083810358007094,0.0010498921517481108,0.98740623738534627,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-single,7,121007,b07-mayfly-single,mayfly,,,10,1,24000,0.3072808338458769,23961,0.30728083337216283,24003,571,0,max_evaluations,false,71.687036957000004,7,30,3,0.17101582521293793,2.8710189385634513,5.3611575054398826e-05,0.56915787136257467,0,9.5397876774908035,10.64479638552595,1.1985890922677076,13.827985687028177,0.053217112512855991,0.60743728193383006,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-r16,7,121007,b07-mayfly-r16,mayfly,,,10,16,24000,0.30476517890901844,6003,0.30476517890901844,24009,564,0,max_evaluations,false,73.120283537999995,2,30,1,0.016001204241078426,0,0.011312486641950281,0.83966129605197193,0.2943442260525832,13.326338324738193,16.407347528028374,0.61512137758307683,10.539766276836906,0.08478582829260084,0.71158087313054041,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-r,7,121007,b07-sep-cmaes-r,cmaes,separable,14,,0,24000,0.30048506200235592,9267,0.30048506200235592,24000,1715,5,max_evaluations,false,70.538297193999995,0,30,1,0.027696403201573908,0,0.0015697382403243587,0.83966129605197193,0.17517766120286077,13.029203699095607,16.009376108691239,0.68583795924097857,10.472115010390251,0.099906208826215703,0.71266775411953898,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,blk-cmaes-r,7,121007,b07-blk-cmaes-r,cmaes,block,14,,0,24000,0.3403899688442284,14193,0.3403899688442284,24000,1715,5,max_evaluations,false,70.298109795000002,0,30,1,0.059665615423057497,0,0.024926448949577407,0.99216292501409364,0.018579938643783819,17.018392226927638,21.193144032244113,0.61148496591832524,23.361311743056156,0.22826235751446333,0.99996583117480264,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-ipop,7,121007,b07-sep-cmaes-ipop,cmaes,separable,14,,0,24000,0.31639582727875781,9745,0.31639582727875781,24000,1714,1,max_evaluations,false,68.686092665000004,0,30,1,0.004247557649693868,0,0.00062441272752233878,0.83966129605197193,0.17146263127959815,12.615809472344479,15.512210263021249,0.60481562322742366,24.546717478750931,0.026071588212607466,0.71882173898291601,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-single,8,121008,b08-mayfly-single,mayfly,,,10,1,24000,0.27642469726492519,23961,0.27642467535542442,24003,571,0,max_evaluations,false,81.880234794000003,6,30,4,0.15934634328276875,0.87881094728758313,0.0006469589020915564,0.45112907603248775,0,8.7925424324454529,9.7208970234691527,1.0996319953239566,12.173121478146587,3.5792201927620226e-05,0.53845295691415151,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-r16,8,121008,b08-mayfly-r16,mayfly,,,10,16,24000,0.3271119973187499,15027,0.3271119973187499,24009,564,0,max_evaluations,false,85.589355105999999,1,30,1,0.019548300690441778,0,0.011312486641953168,0.83966129605197193,0.31002517145600206,13.193090562765768,16.131422795285268,0.76170070918563493,18.988899636267124,0.56842307870990005,0.70193307485112477,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-r,8,121008,b08-sep-cmaes-r,cmaes,separable,14,,0,24000,0.31063260907127271,9519,0.31063260907127271,24000,1715,5,max_evaluations,false,68.447742595999998,0,30,1,0.1041180291075694,4.4408920985006262e-16,0.04032008916662852,0.83966129605197193,0.18271205962590065,12.908218965095864,15.769284163790292,0.72781042957563169,11.813304155440788,0.097573964603640206,0.72973697125110382,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,blk-cmaes-r,8,121008,b08-blk-cmaes-r,cmaes,block,14,,0,24000,0.31628850673675857,9575,0.31628850673675857,24000,1715,5,max_evaluations,false,70.761483056000003,0,30,1,0.051115913160660748,0,0.0025183936975908361,0.83966129605197193,0.17032749082975907,12.991162895880064,15.792733331382813,0.63130426151957153,21.495043607807126,0.10279652247378301,0.70692404745661985,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
